scenario_id,scenario_type,start_ts,end_ts,positive_label,split
S1_coordinated_burst,coordinated_burst,2026-01-21,2026-01-21 01:00:00,1,train
S2_coordinated_burst,coordinated_burst,2026-02-18,2026-02-18 01:00:00,1,train
S3_coordinated_burst,coordinated_burst,2026-01-01,2026-01-01 01:00:00,1,train
S4_merchant_ring,merchant_ring,2026-02-06,2026-02-06 03:00:00,1,train
S5_merchant_ring,merchant_ring,2026-01-27,2026-01-27 03:00:00,1,train
S6_merchant_ring,merchant_ring,2026-02-07,2026-02-07 03:00:00,1,train
S7_merchant_ring,merchant_ring,2026-02-02,2026-02-02 03:00:00,1,train
S8_merchant_ring,merchant_ring,2026-01-08,2026-01-08 03:00:00,1,train
S9_merchant_ring,merchant_ring,2026-02-03,2026-02-03 03:00:00,1,train
S10_merchant_ring,merchant_ring,2026-02-10,2026-02-10 03:00:00,1,train
S11_merchant_ring,merchant_ring,2026-01-08,2026-01-08 03:00:00,1,train
S12_seasonal_burst,seasonal_burst,2026-02-21,2026-02-23 00:00:00,0,train
S13_seasonal_burst,seasonal_burst,2026-01-04,2026-01-06 00:00:00,0,train
S14_coordinated_burst,coordinated_burst,2026-02-28,2026-02-28 01:00:00,1,val
S15_coordinated_burst,coordinated_burst,2026-02-26,2026-02-26 01:00:00,1,val
S16_coordinated_burst,coordinated_burst,2026-02-27,2026-02-27 01:00:00,1,val
S17_merchant_ring,merchant_ring,2026-03-05,2026-03-05 03:00:00,1,val
S18_merchant_ring,merchant_ring,2026-03-12,2026-03-12 03:00:00,1,val
S19_merchant_ring,merchant_ring,2026-03-08,2026-03-08 03:00:00,1,val
S20_merchant_ring,merchant_ring,2026-03-01,2026-03-01 03:00:00,1,val
S21_merchant_ring,merchant_ring,2026-03-11,2026-03-11 03:00:00,1,val
S22_merchant_ring,merchant_ring,2026-03-11,2026-03-11 03:00:00,1,val
S23_merchant_ring,merchant_ring,2026-02-28,2026-02-28 03:00:00,1,val
S24_merchant_ring,merchant_ring,2026-03-13,2026-03-13 03:00:00,1,val
S25_seasonal_burst,seasonal_burst,2026-02-27,2026-03-01 00:00:00,0,val
S26_seasonal_burst,seasonal_burst,2026-03-11,2026-03-13 00:00:00,0,val
S27_coordinated_burst,coordinated_burst,2026-03-18,2026-03-18 01:00:00,1,test
S28_coordinated_burst,coordinated_burst,2026-03-25,2026-03-25 01:00:00,1,test
S29_coordinated_burst,coordinated_burst,2026-03-23,2026-03-23 01:00:00,1,test
S30_merchant_ring,merchant_ring,2026-03-19,2026-03-19 03:00:00,1,test
S31_merchant_ring,merchant_ring,2026-03-30,2026-03-30 03:00:00,1,test
S32_merchant_ring,merchant_ring,2026-03-14,2026-03-14 03:00:00,1,test
S33_merchant_ring,merchant_ring,2026-03-29,2026-03-29 03:00:00,1,test
S34_merchant_ring,merchant_ring,2026-03-20,2026-03-20 03:00:00,1,test
S35_merchant_ring,merchant_ring,2026-03-20,2026-03-20 03:00:00,1,test
S36_merchant_ring,merchant_ring,2026-03-18,2026-03-18 03:00:00,1,test
S37_merchant_ring,merchant_ring,2026-03-18,2026-03-18 03:00:00,1,test
S38_seasonal_burst,seasonal_burst,2026-03-21,2026-03-23 00:00:00,0,test
S39_seasonal_burst,seasonal_burst,2026-03-15,2026-03-17 00:00:00,0,test
