txn_id,ts,customer_id,merchant_id,device_id,pm_id,amount,status,is_abuse,scenario_id,split
T0,2026-01-01 00:00:20,C1880,M40,D332,P869,89.34924768351964,success,0,background,train
T1,2026-01-01 00:00:54,C1045,M60,D231,P1979,169.64446383539743,success,0,background,train
T2,2026-01-01 00:00:58,C1807,M69,D467,P2092,56.27917146922512,failed,1,S3_coordinated_burst,train
T3,2026-01-01 00:01:03,C1247,M69,D543,P1611,97.96377888127546,failed,1,S3_coordinated_burst,train
T4,2026-01-01 00:01:04,C805,M3,D863,P2092,14.275472010732292,failed,1,S3_coordinated_burst,train
T5,2026-01-01 00:01:23,C1066,M3,D881,P1213,10.013510254538,failed,1,S3_coordinated_burst,train
T6,2026-01-01 00:01:28,C1625,M99,D200,P1694,30.891280664512422,success,0,background,train
T7,2026-01-01 00:02:02,C131,M3,D5,P1015,10.996842635483318,failed,1,S3_coordinated_burst,train
T8,2026-01-01 00:02:13,C217,M3,D115,P1485,11.517538976939012,success,1,S3_coordinated_burst,train
T9,2026-01-01 00:02:36,C148,M3,D881,P2078,13.766272497525595,success,1,S3_coordinated_burst,train
T10,2026-01-01 00:03:17,C805,M69,D384,P1565,104.68714591836414,success,1,S3_coordinated_burst,train
T11,2026-01-01 00:03:55,C1254,M3,D174,P1204,10.957545124636455,success,1,S3_coordinated_burst,train
T12,2026-01-01 00:04:10,C304,M69,D467,P103,72.55614615999384,failed,1,S3_coordinated_burst,train
T13,2026-01-01 00:04:16,C7,M3,D863,P1611,10.501250288641003,success,1,S3_coordinated_burst,train
T14,2026-01-01 00:04:31,C805,M69,D696,P465,62.23428500628864,success,1,S3_coordinated_burst,train
T15,2026-01-01 00:04:54,C1254,M69,D498,P1485,52.348625455342415,success,1,S3_coordinated_burst,train
T16,2026-01-01 00:04:55,C1593,M85,D556,P1410,28.420177721862554,success,0,background,train
T17,2026-01-01 00:05:12,C1807,M69,D142,P1565,82.63117099593568,success,1,S3_coordinated_burst,train
T18,2026-01-01 00:05:39,C1950,M34,D699,P1971,22.020937760193974,success,0,background,train
T19,2026-01-01 00:06:46,C425,M69,D881,P695,94.17434125627348,success,1,S3_coordinated_burst,train
T20,2026-01-01 00:07:11,C614,M68,D307,P1826,71.08616575984638,success,0,background,train
T21,2026-01-01 00:07:16,C1833,M3,D467,P1303,18.264621062359055,success,1,S3_coordinated_burst,train
T22,2026-01-01 00:07:53,C1183,M69,D589,P1923,70.01944121641823,success,1,S3_coordinated_burst,train
T23,2026-01-01 00:08:41,C1010,M91,D997,P1071,20.03887959853311,failed,0,background,train
T24,2026-01-01 00:08:50,C805,M69,D5,P1015,59.51486549597516,success,1,S3_coordinated_burst,train
T25,2026-01-01 00:08:56,C1954,M3,D467,P465,15.001880563609875,success,1,S3_coordinated_burst,train
T26,2026-01-01 00:09:07,C805,M69,D696,P490,72.07184752249097,success,1,S3_coordinated_burst,train
T27,2026-01-01 00:09:16,C148,M69,D16,P2117,65.58130033686821,success,1,S3_coordinated_burst,train
T28,2026-01-01 00:09:34,C1254,M3,D115,P148,13.742151496541268,success,1,S3_coordinated_burst,train
T29,2026-01-01 00:09:44,C186,M3,D384,P770,13.040561987187099,success,1,S3_coordinated_burst,train
T30,2026-01-01 00:09:51,C186,M69,D174,P750,75.09948779398992,success,1,S3_coordinated_burst,train
T31,2026-01-01 00:10:22,C1247,M69,D16,P1611,66.09114956504659,success,1,S3_coordinated_burst,train
T32,2026-01-01 00:10:27,C304,M69,D589,P606,72.48753979650064,success,1,S3_coordinated_burst,train
